"jobTitle","company","meanPay"
"Customer Service - Hourly","Marc Glassman","$9/hr"
"Customer Service - Hourly","Intercruises Shoreside & Port Services","$10/hr"
"Customer Service - Hourly","FedEx","$15/hr"
"Customer Service - Hourly","Hy-Vee","$12/hr"
"Customer Service - Hourly","Surya","$15/hr"
"Customer Service","Bank of America","$35,592/yr"
"Customer Service - Hourly Intern","Covidien","$16/hr"
"Customer Service - Hourly","Hollywood Video","$10/hr"
"Customer Service - Hourly","MSTS","$14/hr"
"Customer Service - Hourly","Bark","$12/hr"
"Customer Service - Hourly","Planet Fitness","$9/hr"
"Customer Service","Publix","$36,370/yr"
"Customer Service - Hourly Intern","Amazon","$11/hr"
"Customer Service","Cigna","$39,688/yr"
"Customer Service - Hourly","Progressive Leasing","$13/hr"
"Customer Service - Hourly","Microsoft","$15/hr"
"Customer Service - Hourly","Starbucks","$10/hr"
"Customer Service","Donaldson Company","$42,573/yr"
"Customer Service","Romanoff Renovations","$31,662/yr"
"Customer Service","Habitat for Humanity","$28,122/yr"
"Customer Service - Hourly","eviCore healthcare","$13/hr"
"Customer Service - Hourly","HSBC Holdings","$17/hr"
"Customer Service - Hourly","Payless ShoeSource","$9/hr"
"Customer Service - Hourly","Mardel Christian Bookstore","$9/hr"
"Customer Service - Hourly","Liberty Mutual Insurance","$16/hr"
"Customer Service - Hourly","A.C. Moore","$10/hr"
"Customer Service - Hourly","Sports Authority","$11/hr"
"Customer Service","Wayfair","$33,009/yr"
"Customer Service - Hourly","Gander Outdoors","$11/hr"
"Customer Service","MassMutual","$50,465/yr"
"Customer Service - Hourly","SoFi","$17/hr"
"Customer Service","Stryker","$41,817/yr"
"Customer Service","Kemper","$41,574/yr"
"Customer Service","OEC Group","$45,370/yr"
"Customer Service","Publix","$27,953/yr"
"Customer Service - Hourly","Gabe’s","$9/hr"
"Customer Service - Hourly","CBC Companies","$16/hr"
"Customer Service - Hourly","Giant Eagle","$9/hr"
"Customer Service - Hourly","Hardee's","$10/hr"
"Customer Service - Hourly","General Dynamics Information Technology","$14/hr"
"Customer Service","Facebook","$47,337/yr"
"Customer Service - Hourly","Overnight Prints","$15/hr"
"Customer Service","Mediterranean Shipping Company","$30,758/yr"
