date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jul 08 2019 19:38:00 GMT-0700 (Pacific Daylight Time), Designer,"Mountain View, CA",Current Employee ,"If you've heard anything positive about this company, don't believe it.",I have been working at Intuit full-time for more than 5 years,9,Nothing good at all here.,"Product quality and customer satisfaction are not prioritized. It's all about making as much money as possible, even if it takes forcing customers into things they don't want or need. Desperate money-grubbing, not delivering good products.

No work-life balance. Be available 24/7 or else. 

Worst management ever, only the worst people are made managers. People who shouldn't even have junior level roles, who think the sun shines out of their butts. They never listen to the people who actually do the real work, especially the creepy CEO.

If you're decent at your job, don't expect anyone to ever acknowledge it. Doing your job properly may annoy the people who can't do their own, and don't be surprised when they do what they can to stab you in the back and try to get you fired for doing your job well.",Fire everyone and burn this place to the ground.,1.0,1.0,1.0,1.0,2.0,1.0
Wed Jun 19 2019 08:21:08 GMT-0700 (Pacific Daylight Time), Technical Program Manager,"San Diego, CA",Current Employee ,Great Place,I have been working at Intuit full-time for more than 10 years,,Awesome People; Customer Focused; Principled Leadership,"As the company has grown, so has the red tape. Too much corporate overhead.",,4.0,4.0,5.0,3.0,5.0,4.0
Mon Jun 10 2019 09:28:06 GMT-0700 (Pacific Daylight Time), Supportability Specialist,"Tucson, AZ",Former Employee ,Good Salary - not great career options,I worked at Intuit full-time for more than 3 years,4,The culture is pretty healthy and depending upon the team it can be a fun place to work. The salary is above average for Tucson.,"Rotating managers -- I averaged a new manager every 5 months. Nobody really cares about ""career path"" as you may be asked to move to a job that is not anything close to what your job title or specialty may be in the organization.","Provide some stability to folks and they will want to stay. Hire people and allow them to specialize in something rather than a ""one size fits all"" model of career building.",3.0,2.0,4.0,2.0,5.0,3.0
Tue Jun 04 2019 17:22:44 GMT-0700 (Pacific Daylight Time), Staff Software Engineer,"Mountain View, CA",Former Employee ,Principled company,I worked at Intuit full-time for more than 5 years,2,"laudable core values
forefront of technology
extremely sharp people","The company's values are not necessarily embraced by all levels of management.
Stress is high in some teams",The core values are praiseworthy; pay closer attention that they are embraced by all level of management.,4.0,1.0,4.0,3.0,4.0,3.0
Thu May 23 2019 03:16:33 GMT-0700 (Pacific Daylight Time), Lead Engineer,"Mountain View, CA",Current Employee ,best company,I have been working at Intuit full-time for more than 10 years,,one of the best company,none so far that is obvious,,5.0,5.0,4.0,4.0,4.0,4.0
Thu May 16 2019 14:07:20 GMT-0700 (Pacific Daylight Time), Supportablity Specialist,"Tucson, AZ",Current Employee ,10/10,I have been working at Intuit full-time for more than a year,2,"Pay 
Time off 
Benefits
Work/Life Balance 
Culture","Workload 
Season
Some old building design",,5.0,5.0,5.0,5.0,5.0,5.0
Sat May 18 2019 05:30:13 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"Plano, TX",Current Employee ,"If you don't mind nepotism (against you), go to work here",I have been working at Intuit full-time for more than 8 years,12,"The Plano location is riding the coattails of other bigger and better business units in California. Perhaps you can milk that California goodness for a while too. 
People are mostly nice (at least to your face). The company offers great benefits.","This location does not have much to offer in the way of dynamism or growth. All the so-called leaders are content with maintaining growth through increased prices. In engineering, especially, you can expect to get promoted if you are either a woman or play cricket.

Oh! by the way, do not even think of doing anything innovative. Your manager or program manager will steal it right under you for an award.","Well, it is a lit bit recursive...how do you get rid of nepotism if you were a recipient yourself and leveraged it to get to that position?",2.0,3.0,2.0,1.0,4.0,1.0
Wed May 29 2019 10:20:49 GMT-0700 (Pacific Daylight Time)," Software Engineer, Senior","Mountain View, CA",Current Employee ,Good mix of things,I have been working at Intuit full-time for more than 3 years,1,"Good benefits,
Decent work life balance",Self selling promotion process is bad,,4.0,3.0,4.0,4.0,4.0,4.0
Tue May 28 2019 19:04:03 GMT-0700 (Pacific Daylight Time), Sales,,Former Employee ,Great Place to Work,I worked at Intuit full-time,,"Great opportunity for professional development and great company culture overall. 
Pay a bit under-market, but still solid. Excellent leadership and management for the most part. Incredible commitment to integrity at all levels.","Going through lots of changes currently, management is shifting a bit, which is unstable, but not a bad change.","Increase compensation up to market, and provide more visibility into compensation and opportunities long-term within the company.",4.0,5.0,5.0,5.0,3.0,5.0
Sun May 19 2019 21:44:11 GMT-0700 (Pacific Daylight Time), Data Science,"Mountain View, CA",Current Employee ,"Lots of politics, Not a place for an introvert.",I have been working at Intuit full-time for more than a year,1,Intuit's data science organization is decent but mired with politics. Its a not a place for introverts. There are good people who build some amazing capability for the company.,But there are bad actors who wait for the chance to send an email to self congratulate and take credit. Its a perception based company rather than a data based company.,Follow your words with actions. Try to reduce politics and put in a culture of merit.,3.0,2.0,2.0,2.0,4.0,2.0
