date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Dec 11 2018 13:55:59 GMT-0800 (Pacific Standard Time), Accountant,"San Diego, CA",Former Employee ,Started off great & make sure you're in the right department,I worked at Qualcomm full-time for more than 3 years,1,Company WAS incredibly generous. Provided incredible benefits and all the bells & whistles that came with working for a large company.,"The company took a different direction that no longer valued it's employees (if you're not part of the legal or engineering department, I was in finance). The finance department was built from a group of friends that recruited one another. Whether you were a good employee or not, did not matter to management. They stood by who could kiss butt and who their friends were.",Upper management should be more involved in controlling the politics within each department. Poor performers are somehow kept while those who are super stars are over looked. If I were a business owner I would put more effort in cultivating skills of those who focuses on productivity and results than those who say they work long hours but have no actual accomplishments to show for it.,2.0,2.0,2.0,4.0,3.0,1.0
Tue Nov 27 2018 22:37:29 GMT-0800 (Pacific Standard Time),,,Current Employee ,Great company to work for,I have been working at Qualcomm full-time,," Good perks
- Leading company in mobile chip design
- Nice San diego weather"," consolidation
- Job stability: firing some of the employees",,4.0,4.0,4.0,,,
Wed Dec 05 2018 15:48:54 GMT-0800 (Pacific Standard Time), Senior Staff,"Raleigh, NC",Current Employee ,How the mighty have fallen,I have been working at Qualcomm full-time for more than 5 years,5,"A capable group, doing custom CPUs and large scale server chips. Cutting edge work, interested employees, better than average local wages","Destroyed entire group, going into second round of layoffs which will leave < 10% of prior employees. Poor management planning for the group, all of our tech will be shelved and die.","While firing hundreds of engineers, you should also dump the management people who made the decisions to get here.",2.0,3.0,4.0,1.0,4.0,1.0
Mon Dec 10 2018 05:45:17 GMT-0800 (Pacific Standard Time), Validation Engineer,"Austin, TX",Former Employee ,"Validation Engineer, Austin",I worked at Qualcomm full-time for more than a year,1,"Exciting technical work with little management supervision. 
Extremely generous Compensation, RSU's and Bonuses. ( West Coast model ).","Every time we went to San Diego we had to work long hours with little thanks. San Diego was the HQ site and a depressing place, constantly suffering from staff cutbacks. In the end , the pitches by senior management were not believable .
Poor stock performance ... negative or directionless.","Needed more management skills and less engineering skills.
Q got a free ride on a royalty model that eventually customers pushed back on. Better to negotiate that litigate with major customers.",3.0,5.0,3.0,3.0,5.0,3.0
Mon Nov 26 2018 16:02:12 GMT-0800 (Pacific Standard Time),,,Former Employee ,Truly fantastic place to work,I worked at Qualcomm full-time,,"Can't imagine better work environment. Smart people, good pay.","It's such a big company, a little easy to get lost at first.",,5.0,5.0,5.0,5.0,5.0,5.0
Mon Nov 26 2018 16:33:06 GMT-0800 (Pacific Standard Time),,,Current Employee ,Entry Level Developer,I have been working at Qualcomm full-time,,"There is Good pay
Important Connections
Experience","Long hours
High Expectations
Short Breaks/Vacation time",,4.0,3.0,3.0,4.0,4.0,3.0
Sun Nov 25 2018 09:55:06 GMT-0800 (Pacific Standard Time),,,Current Employee ,staff engineer,I have been working at Qualcomm full-time,,"cutting edge technology, opportunity to grow","work life balance, leave policy",,5.0,3.0,5.0,5.0,5.0,4.0
Thu Dec 06 2018 18:26:56 GMT-0800 (Pacific Standard Time), Staff Engineer,"Boulder, CO",Former Employee ,Too much of short term focus,I worked at Qualcomm full-time for more than 8 years,1,"Good colleagues, Good comp compared to other HW companies.","Lack of vision by management, short term focus","Stop focusing so much on short term goals and hear from employees. 
The way QDT transition was managed was a utter mess.",3.0,4.0,4.0,3.0,3.0,1.0
Wed Nov 21 2018 15:28:25 GMT-0800 (Pacific Standard Time), Senior Staff Engineer,"San Diego, CA",Current Employee ,Once a Great Company,I have been working at Qualcomm full-time for more than 10 years,1,"Qualcomm has been one of the greatest Engineering company in the wireless space ,pushing the wireless in the phone to where it is today.
People are great and helpful.",Has dropped from being a top 100 best employer says something in the last few years. It was the company when I graduated that people flocked to.,Should listen to their workers,4.0,3.0,1.0,3.0,3.0,1.0
Sat Nov 24 2018 08:36:16 GMT-0800 (Pacific Standard Time), Systems Engineer,"San Diego, CA",Current Employee ,Support,I have been working at Qualcomm full-time for more than 5 years,,"Professional company, a lot of work to do, many people to get to know.",Last 6 years has us always wondering when the next layoff will hit. Many cutbacks.,,4.0,3.0,2.0,4.0,4.0,2.0
Thu Dec 06 2018 13:15:01 GMT-0800 (Pacific Standard Time),,, ,Great people to work with,I worked at Qualcomm,,"You will work along with some of the brightest engineers and can learn a lot of stuff. Especially for someone coming right out of school with no practical experience, great place to start your career","Company is facing headwinds with the legal issues, which it needs to sort out soon",,3.0,,,,,
Wed Nov 21 2018 14:41:33 GMT-0800 (Pacific Standard Time),,, ,Senior Systems Analyst,I worked at Qualcomm,,"Work is good
People are talented",I do not find any,none,5.0,5.0,5.0,5.0,5.0,5.0
