"jobTitle","meanPay","Range"
"Enterprise Sales Operations Specialist","$140,734/yr","Range: $132K - $144K"
"Senior Analyst","$102,581/yr","Range: $81K - $192K"
"Sales Strategy Associate","$114,374/yr","Range: $84K - $149K"
"Receptionist - Hourly","$22/hr","Range: $18 - $23"
"Software - Intern","$86,340/yr","Range: $86K - $87K"
"Recruiter - Contractor","$108,699/yr","Range: $85K - $166K"
"AdSense Account Strategist","$68,302/yr","Range: $63K - $79K"
"UI Developer","$111,046/yr","Range: $106K - $134K"
"Attorney - Hourly Contractor","$50/hr","Range: $48 - $50"
"Motion Designer","$122,397/yr","Range: $69K - $132K"
"Purchasing Agent","$108,457/yr","Range: $86K - $110K"
"SWE - Hourly Intern","$41/hr","Range: $40 - $43"
"Digital Marketing Specialist","$81,668/yr","Range: $27K - $93K"
