"jobTitle","meanPay","Range"
"Senior Mixed Signal Design Validation Engineer","$126,757/yr","Range: $121K - $132K"
"Senior Technical Product Manager","$196,000/yr","Range: $189K - $203K"
"Senior Programmer Analyst","$138,898/yr","Range: $133K - $145K"
"Technical Marketing - Hourly","$33/hr","Range: $31 - $34"
"Systems Architect","$136,336/yr","Range: $130K - $143K"
"Senior Unix Systems Engineer","$147,734/yr","Range: $141K - $152K"
"Senior Manufacturing Engineering Manager","$238,183/yr","Range: $230K - $247K"
"Software Engineer - Hourly","$56/hr","Range: $54 - $59"
"Senior Engineering Product Manager","$211,479/yr","Range: $204K - $221K"
"IT Senior Specialist","$108,034/yr","Range: $104K - $111K"
"Sr Verification Engineer","$145,367/yr","Range: $140K - $151K"
"Mobile Developer","$157,742/yr","Range: $152K - $163K"
"QA Technician","$49,348/yr","Range: $47K - $51K"
"HW Design Engineer","$148,247/yr","Range: $142K - $155K"
"3D Designer","$86,407/yr","Range: $84K - $90K"
"Computer Vision Engineer","$135,171/yr","Range: $130K - $141K"
"Web Developer - Hourly Intern","$41/hr","Range: $39 - $42"
"Unix Systems Administrator","$124,850/yr","Range: $119K - $130K"
"Quality Assurance Manager","$159,197/yr","Range: $152K - $166K"
"Physical Therapist","$90,597/yr","Range: $87K - $94K"
"Paralegal","$117,163/yr","Range: $113K - $121K"
"Senior FP&A Manager","$153,639/yr","Range: $148K - $160K"
"Senior Manager, Supply Chain","$166,572/yr","Range: $161K - $174K"
"Communications Manager","$121,025/yr","Range: $117K - $125K"
"Computer Systems Engineer","$108,460/yr","Range: $104K - $112K"
"Hardware - Monthly Intern","$7,600/mo","Range: $7K - $8K"
"OR","$105,150/yr","Range: $101K - $110K"
"Recruiting Coordinator - Hourly Contractor","$33/hr","Range: $32 - $34"
"Washington","$122,562/yr","Range: $117K - $127K"
"Product Engineer - Intern","$70,463/yr","Range: $68K - $73K"
"ASIC Engineering","$161,517/yr","Range: $156K - $167K"
"Security Analyst","$114,708/yr","Range: $109K - $120K"
"GPU QA Engineer","$81,689/yr","Range: $78K - $85K"
"Senior Hardware Validation Engineer","$145,569/yr","Range: $141K - $152K"
"Area Supervisor","$57,069/yr","Range: $55K - $59K"
"Director, Learning and Development Specialist","$161,578/yr","Range: $155K - $169K"
"Hardware Engineer - Monthly Intern","$7,777/mo","Range: $7K - $8K"
"Senior Systems Software Engineer","$153,408/yr","Range: $148K - $159K"
"Systems Software Development Engineer - Hourly Intern","$35/hr","Range: $34 - $36"
"Software QA Engineering Manager","$144,987/yr","Range: $141K - $149K"
"Business Analyst","$106,301/yr","Range: $103K - $111K"
"Network Engineer","$152,336/yr","Range: $145K - $158K"
"Senior Circuit Methodology Engineer","$163,098/yr","Range: $156K - $171K"
"Senior Director Engineering","$279,962/yr","Range: $268K - $291K"
"SOX Compliance Analyst","$94,163/yr","Range: $90K - $99K"
"Staff QA - Hourly Intern","$24/hr","Range: $23 - $25"
"Software Development Engineer - Hourly","$30/hr","Range: $29 - $32"
"Head Global Marketing Manager","$163,875/yr","Range: $158K - $172K"
"Human Resource Business Partner","$118,652/yr","Range: $113K - $122K"
"Senior Video Software Engineer","$171,278/yr","Range: $166K - $179K"
"Senior UI Engineer","$154,326/yr","Range: $148K - $160K"
"Hardware Engineering - Monthly Intern","$7,037/mo","Range: $7K - $7K"
"Principal Design Engineer","$232,793/yr","Range: $223K - $242K"
"SLT(Systems Level Test) Engineer - Hourly Intern","$27/hr","Range: $26 - $28"
"Product Management Manager","$157,851/yr","Range: $152K - $163K"
"Senior Director of Engineering","$279,790/yr","Range: $269K - $293K"
"Business Manager","$176,159/yr","Range: $170K - $185K"
"Marketing Systems Analyst","$127,037/yr","Range: $122K - $132K"
"Platform Engineer","$137,378/yr","Range: $131K - $143K"
"Operations Specialist","$74,665/yr","Range: $71K - $77K"
"Contract Manager","$129,373/yr","Range: $123K - $134K"
"Graphic Designer IV","$99,395/yr","Range: $96K - $103K"
"Demand Planner Analyst - Contractor","$65,033/yr","Range: $63K - $68K"
"Board Solutions Validation Engineer","$115,758/yr","Range: $112K - $121K"
"Corporate Counsel","$196,170/yr","Range: $187K - $203K"
"Event Coordinator","$61,905/yr","Range: $59K - $65K"
"Senior Automation Engineer","$151,863/yr","Range: $146K - $157K"
"Embedded Systems Specialist","$133,638/yr","Range: $129K - $139K"
"Management","$205,905/yr","Range: $198K - $214K"
"Web Designer","$106,235/yr","Range: $103K - $109K"
"Foundry Manager","$172,647/yr","Range: $166K - $181K"
"Computer Engineer/Architect","$133,173/yr","Range: $127K - $139K"
"HW Validation Engineer","$110,953/yr","Range: $106K - $116K"
"Hardware Architect","$117,433/yr","Range: $113K - $121K"
"Developer Technology Software Manager","$186,433/yr","Range: $179K - $194K"
"Infrastructure Engineer - Hourly","$51/hr","Range: $49 - $53"
"Industrial Designer","$85,662/yr","Range: $82K - $88K"
"Senior Information Security Engineer","$139,095/yr","Range: $134K - $145K"
"Operations Engineer","$124,296/yr","Range: $119K - $129K"
"Graphics Software - Hourly Intern","$37/hr","Range: $36 - $38"
"Human Resources - Hourly","$32/hr","Range: $31 - $34"
"Web/DB Architect - Hourly Intern","$33/hr","Range: $32 - $34"
"Systems Software Engineer - Hourly","$42/hr","Range: $40 - $43"
