"jobTitle","meanPay","Range"
"Software Applications Engineer","$91,639/yr","Range: $88K - $95K"
"Student Worker - Monthly","$1,294/mo","Range: $1K - $1K"
"Production Supervisor","$60,091/yr","Range: $58K - $63K"
"Logistics Specialist","$54,549/yr","Range: $52K - $56K"
"User Experience Lead - Hourly Contractor","$69/hr","Range: $67 - $72"
"Software Engineering - Contractor","$76,335/yr","Range: $73K - $79K"
"Senior Security Engineer","$99,612/yr","Range: $96K - $103K"
"Senior Standards Engineer II","$105,961/yr","Range: $101K - $111K"
"Cost Analyst","$66,929/yr","Range: $64K - $70K"
"Summer Associate - Hourly Intern","$57/hr","Range: $55 - $60"
"Senior Android Engineer","$140,416/yr","Range: $135K - $145K"
"Product Designer - Contractor","$86,370/yr","Range: $82K - $89K"
"Software Engineer - Intern","$85,145/yr","Range: $81K - $89K"
"Senior Manager Facilities","$124,723/yr","Range: $120K - $131K"
"Senior Project Manager/Software Engineer","$127,276/yr","Range: $122K - $132K"
"Inventory Supervisor","$38,812/yr","Range: $37K - $40K"
"VP and General Manager","$383,236/yr","Range: $366K - $402K"
"Master Technician","$84,093/yr","Range: $80K - $87K"
"Field Service Technician - Hourly","$32/hr","Range: $31 - $33"
"Engineering Director","$266,723/yr","Range: $258K - $277K"
"Sales Representative - Hourly","$18/hr","Range: $18 - $19"
"Staff Design Engineer","$150,000/yr","Range: $145K - $155K"
"Head of Talent Acquisition - Media Solutions - Hourly Contractor","$132/hr","Range: $128 - $137"
"Software Test Engineer III","$79,825/yr","Range: $76K - $83K"
"Training Director","$188,436/yr","Range: $182K - $197K"
"Product Planning Manager (Product Planning)","$101,994/yr","Range: $98K - $105K"
"Senior UNIX Administrator","$96,821/yr","Range: $93K - $101K"
