"jobTitle","meanPay","Range"
"Member of Technical Staff","$145,969/yr","Range: $125K - $158K"
"Staff Software Engineer - Hourly","$66/hr","Range: $57 - $87"
"Systems Engineer - Hourly Intern","$44/hr","Range: $42 - $46"
"Modem Firmware Engineer","$105,304/yr","Range: $98K - $151K"
"Senior Digital Systems Engineer","$148,998/yr","Range: $148K - $154K"
"Program Analyst","$67,795/yr","Range: $59K - $80K"
"Senior Legal Counsel","$200,700/yr","Range: $194K - $209K"
"Legal Specialist","$73,086/yr","Range: $65K - $76K"
"Engineering Technician","$56,915/yr","Range: $42K - $68K"
"Marketing Communications Coordinator","$89,480/yr","Range: $87K - $105K"
"Senior Staff IT Engineer","$143,101/yr","Range: $133K - $151K"
"Staff Systems Design Engineer","$141,360/yr","Range: $131K - $155K"
"Staff Business Systems Analyst","$116,863/yr","Range: $108K - $127K"
"Staff Engineer - Hourly","$65/hr","Range: $61 - $66"
"Senior Manager, Business Development","$151,899/yr","Range: $130K - $157K"
"Demand Analyst","$79,738/yr","Range: $57K - $84K"
"RF Product and Test Engineer","$95,749/yr","Range: $92K - $148K"
"Firmware Engineer","$113,946/yr","Range: $90K - $140K"
"Test Engineer - Contractor","$83,170/yr","Range: $71K - $97K"
"Staff Technical Writer","$110,316/yr","Range: $99K - $118K"
"Hardware - Hourly Intern","$38/hr","Range: $28 - $41"
"IT Staff Engineer","$132,463/yr","Range: $119K - $137K"
"Associate Product Manager","$98,561/yr","Range: $88K - $111K"
"Principal Systems Engineer","$194,607/yr","Range: $180K - $215K"
"Systems Test Engineer (Senior)","$113,075/yr","Range: $108K - $116K"
"Engineering","$98,411/yr","Range: $76K - $162K"
"Senior Director, Program Management","$215,761/yr","Range: $209K - $229K"
"Staffing Specialist","$75,616/yr","Range: $66K - $88K"
"Senior Software Engineering Manager","$159,228/yr","Range: $97K - $208K"
"Director of Project Management","$176,724/yr","Range: $159K - $194K"
"Software Test Engineer - Contractor","$92,425/yr","Range: $71K - $99K"
"Senior Hardware Applications Engineer","$106,936/yr","Range: $100K - $117K"
"Staff ASIC Design Engineer","$155,717/yr","Range: $143K - $159K"
"IT Manager","$164,096/yr","Range: $144K - $171K"
"ATE Test Engineer","$110,000/yr","Range: $102K - $111K"
"Senior Verification Engineer","$108,823/yr","Range: $103K - $175K"
"Senior Test Development Engineer","$116,224/yr","Range: $103K - $118K"
"Interim Software Engineer - Hourly","$33/hr","Range: $29 - $40"
"Software Engineer() - Hourly","$38/hr","Range: $26 - $39"
"Public Relations Manager","$114,184/yr","Range: $107K - $119K"
"Engineer II - Hourly Contractor","$50/hr","Range: $50 - $60"
"Test Technician Intermediate - Hourly","$22/hr","Range: $21 - $23"
"Business Analyst","$79,449/yr","Range: $65K - $83K"
"Research - Hourly Intern","$39/hr","Range: $29 - $45"
"Programmer Analyst, Senior","$102,659/yr","Range: $88K - $105K"
"IT Architect","$159,126/yr","Range: $154K - $164K"
"Business Systems Analyst","$71,337/yr","Range: $70K - $126K"
