"jobTitle","company","meanPay"
"Marketing","Direct Auto","$96,754/yr"
"Marketing","Institute for Integrative Nutrition","$44,718/yr"
"Marketing","New Relic","$117,169/yr"
"Marketing","MeUndies","$79,961/yr"
"Marketing - Hourly Intern","Brady","$16/hr"
"Marketing - Hourly Intern","Dennis Corporation","$11/hr"
"Marketing","Software Advice","$49,440/yr"
"Marketing - Hourly Intern","OrderUp","$11/hr"
"Marketing - Hourly Intern","KaVo Kerr","$12/hr"
"Marketing","Wolfram Research","$43,947/yr"
"Marketing","WellCare","$58,241/yr"
"Marketing","Salesforce","$122,794/yr"
"Marketing - Hourly Intern","Rich Products","$15/hr"
"Marketing","MuleSoft","$75,925/yr"
"Marketing","Acumed","$61,883/yr"
"Marketing","SolarWinds","$108,430/yr"
"Marketing","Overstock.com","$57,399/yr"
"Marketing","Acadia Healthcare","$52,366/yr"
"Marketing - Hourly Intern","TripAdvisor","$20/hr"
"Marketing","Team Velocity","$61,407/yr"
"Marketing - Hourly Intern","Junebug Weddings","$9/hr"
"Marketing","Allied Wire & Cable","$37,315/yr"
"Marketing - Hourly Intern","NetApp","$27/hr"
"Marketing","DialogTech","$55,745/yr"
"Marketing","PODS","$81,953/yr"
"Marketing - Hourly Intern","Kaiser Permanente","$26/hr"
"Marketing","Skybox Security","$145,691/yr"
"Marketing - Hourly Contractor","Google","$22/hr"
"Marketing","Whole Foods Market","$53,221/yr"
"Marketing","Cerner","$48,868/yr"
"Marketing","Renaissance Learning","$57,912/yr"
"Marketing - Hourly Intern","EF Education First","$15/hr"
"Marketing - Hourly Intern","PayPal","$24/hr"
"Marketing","DEFENDERS","$53,818/yr"
"Marketing","Concordia Publishing House","$45,998/yr"
"Marketing","Sage","$109,848/yr"
"Marketing","Telerik","$57,131/yr"
"Marketing","J. C. Penney","$78,549/yr"
"Marketing","Ricoh","$86,110/yr"
"Marketing - Hourly Intern","Motorola Solutions","$19/hr"
"Marketing","Frontier Communications","$117,075/yr"
"Marketing - Hourly","State Farm","$19/hr"
"Marketing - Hourly Intern","Bisk","$11/hr"
"Marketing","Epsilon","$100,653/yr"
"Marketing","Humana","$63,865/yr"
"Marketing","The American College of Financial Services","$62,352/yr"
"Marketing - Hourly Intern","Cox Media Group","$11/hr"
"Marketing - Monthly Intern","Phillips 66","$4,189/mo"
"Marketing","Life Time","$96,703/yr"
"Marketing","Anheuser-Busch","$71,379/yr"
"Marketing - Hourly Intern","Sandhills Global","$16/hr"
"Marketing","Prudential","$75,832/yr"
"Marketing","National Products (RAM Mounting Systems)","$62,429/yr"
"Marketing","Evine","$64,918/yr"
"Marketing","Microsoft","$102,493/yr"
"Marketing - Hourly","Farmers Insurance Group","$12/hr"
"Marketing","Silver Eagle","$53,065/yr"
"Marketing - Hourly Intern","Continuum","$16/hr"
"Marketing","Viasat","$76,000/yr"
"Marketing - Hourly Intern","Cook Medical Inc","$17/hr"
"Marketing","Logos Bible Software","$43,055/yr"
"Marketing","Oscar Health","$91,342/yr"
"Marketing","Zimmer Biomet","$85,332/yr"
"Marketing - Hourly Intern","Lenovo","$13/hr"
"Marketing","Treasure Data","$138,183/yr"
"Marketing","Auto Club of Southern California","$70,234/yr"
"Marketing","K12","$90,799/yr"
"Marketing","Bon-Ton Stores","$52,784/yr"
"Marketing","Polycom","$144,342/yr"
"Marketing","Riverbed Technology","$109,848/yr"
"Marketing - Hourly Intern","Porsche Cars North America","$15/hr"
"Marketing - Hourly Intern","Reynolds and Reynolds","$10/hr"
"Marketing","Mizuno","$58,133/yr"
"Marketing","Merritt Hawkins","$54,098/yr"
"Marketing","American Express","$91,627/yr"
"Marketing - Hourly Intern","Workiva","$11/hr"
"Marketing","Aeris Communications","$73,611/yr"
"Marketing","Bose","$105,154/yr"
"Marketing","Hart Energy Publishing LLC","$57,121/yr"
"Marketing","Live Nation Entertainment","$43,096/yr"
"Marketing","Pentair","$84,089/yr"
"Marketing - Hourly","Nordic Naturals","$19/hr"
"Marketing","AT&T","$59,361/yr"
"Marketing - Hourly Intern","Time Inc.","$11/hr"
"Marketing","ON24, Inc.","$78,070/yr"
"Marketing - Hourly Intern","HDR","$20/hr"
"Marketing - Hourly Intern","Socket Telecom","$11/hr"
"Marketing - Hourly Intern","Spok","$16/hr"
"Marketing","Southern New Hampshire University","$48,886/yr"
"Marketing","Newegg","$44,758/yr"
"Marketing","Axalta","$103,204/yr"
