"Company","Rating","Title","Location","Salary"
"AH Technology Solutions, Corp",,"Sales-Bilingual Spanish networking hardware","Fountain Valley, CA","$36k-$60k"
"Analytical Technologies Group","5.0","Sales and Business Development Manager","Remote",
"Rocky Mountain Air Solutions","3.0","Customer Service and Sales Representative","Salt Lake City, UT",
"EAE USA INC",,"Sales Engineer","Atlanta, GA",
"Netronix Integration","4.0","Senior Account Executive","Placentia, CA",
"360 Payments","4.8","Inside Sales Representative","Tulsa, OK",
"Advanced Tracking Technologies, Inc.","3.3","Sr. Inside Sales Representative","Houston, TX",
"Sumitomo Riko","3.7","Sales Specialist","Bluffton, OH","$38k-$45k"
"N2 Publishing","4.7","Area Sales Director","Cranston, RI",
"RMM Solutions","3.4","Sales Lead Generation Specialist","Wausau, WI","$16-$17"
"Utility Services Advisory Group","3.1","Energy Sales","Clearwater, FL",
"The W Nail Bar","5.0","Nail Technician","Austin, TX","$35k-$55k"
"Great American Opportunities","1.7","Outside Sales Representative","Princeton, NJ",
"Aetrex Worldwide, Inc","3.5","Seasonal Retail Sales Associate","Paramus, NJ","$30k-$40k"
"ReTrans, Inc","3.8","Customer Service / Inside Sales / Accounting","Brentwood, CA","$17-$19"
"Boss Pet Products","5.0","Sales Executive","Oakwood Village, OH","$50k-$65k"
"Duncan Aviation","4.1","Customer Sales & Service Representative I","Lincoln, NE","$14-$17"
"InterGlobal Exhibits","4.6","Account Executive Sales - Team Leader","Englewood, CO",
"Lendio","4.9","Financial Sales Consultant","Woodbury, NY","$90k-$175k"
"Inspired eLearning","4.8","Enterprise Sales Development Representative","San Antonio, TX",
"The Floor Store","4.7","Retail Sales Associate","San Carlos, CA","$55k-$90k"
"Santa Clara County Fairgrounds",,"Venue & Event Sales Manager","San Jose, CA",
"TopStar International INC",,"Technical Sales Engineer","City of Industry, CA",
"V3 Electric","4.3","Entry Level Sales - Energy Consultant","El Dorado Hills, CA",
"Maverick Motorsports",,"Sales and Service Advisor","Safford, AZ","$12-$16"
"igus Inc.","3.7","Outside Technical Sales - Des Moines, IA","Des Moines, IA","$55k-$65k"
"Mattress World NorthWest","3.0","Retail Sales Associate","Clackamas, OR",
"Green Mountain Energy","3.5","Sales - Renewable Energy","Boston, MA","$12-$20"
"s & s brokerage inc",,"Sales Associate","Iselin, NJ","$35k-$55k"
"Cardinal Carryor","3.0","Entry Level Outside Professional Sales","Louisville, KY",
"Morgan Automotive Group","4.3","Mercedes Benz of Gainesville Sales Advisor","Gainesville, FL","$9-$18"
"Mariasch Studios, Inc",,"Retail Holiday Sales Associate","New York, NY",
"North Central Utility of Wisconsin, LLC",,"Counter Sales Representative","Madison, WI","$40k-$55k"
"Volvo Car Corporation","4.1","Automotive Sales Consultant","Exeter, NH",
"Anderson's Office Furniture",,"Sales Associate","Tucson, AZ","$35k-$50k"
"FLEETCOR","2.8","Inside Sales Representative - Outbound","Norcross, GA",
"MCCi","4.4","Software Sales Manager","Tallahassee, FL",
"Inpro Corporation","4.3","Inside Sales Associate","Muskego, WI",
"Cengage","4.0","Field Sales Consultant","Memphis, TN",
"Brandvizion",,"Sales / Account Manager","Chantilly, VA",
"MetroPCS Premium Retailer",,"Sales Agent/Customer Service Representative","Fremont, CA","$13-$18"
"US Standard Products","4.2","Inside Sales Executive","Englewood, NJ",
"Hospitality Softnet Inc","4.4","Hotel Sales Teleprospector","Remote",
"CrossPointe Benefit Solutions","5.0","Inside Sales Representative","Kansas City, MO",
"Assured-Protection","1.0","Outside Sales Representative","Hunt Valley, MD",
"N2 Publishing","4.7","Sales Executive (H0710313)","Albuquerque, NM",
"Cengage","4.0","Inside Sales Strategic Account Manager","Boston, MA",
"Berkshire Hathaway HomeServices","4.2","Real Estate Agent","Overland Park, KS",
"Lucas-Milhaupt","3.5","Inside Sales Rep","Cudahy, WI",
"GARY PLASTIC PACKAGING","3.5","Inside Key Accounts Sales Manager","Bronx, NY",
"Clear Choice Home Improvements","4.4","Sales Representative","Manchester, NH","$65k-$85k"
"Great American Payment Systems","4.0","Inside Sales Representative","Aurora, IL","$45k-$80k"
"Rush Enterprises","2.8","Export Used Truck and Parts Sales Manager to Central and South America","Miami, FL","$19-$32"
"SeniorcareUSA",,"Experienced Phone Sales Position","Little Rock, AR",
"FLEETCOR","2.8","Inside Sales Representative - Inbound","Norcross, GA",
"N2 Publishing","4.7","Sales Executive (H0280313)","Newport, RI",
"Synactive","3.3","Inside Sales / Demand Generation","Foster City, CA",
"Company 9","4.1","Customer Service and Sales Representative","Toledo, OH",
"FreeAgent CRM","4.8","Senior Sales Engineer","Oakland, CA",
"Adult Store",,"Retail Sales Associate","Clarksburg, WV","$9-$15"
"LANgineers","4.1","Outside Sales Representative","Burlingame, CA","$54k-$100k"
"Current Affairs",,"Current Affairs Sales Associate","Honolulu, HI","$40k-$45k"
"Etoile","2.0","Luxury Retail Sales Associate","Dallas, TX","$12-$14"
"Celltronix","5.0","Retail Sales Associate","Orlando, FL","$9-$11"
"Midland Paper, Packaging + Supplies","3.4","Outside Sales Rep - All Divsions","Wheeling, IL",
"ProSpring Staffing",,"Sales Account Executive / Business Developer - Fulltime Staff - Plano, TX (Fulltime Staff)","Plano, TX",
"Rollins","2.6","Outside Sales Representative","Saint Charles, MO",
"DISH","2.9","Associate Account Executive-Sales","Broomfield, CO",
"Oakwood Escrow","5.0","Sales Representative","Escondido, CA",
"Tire City LLC",,"Tire Sales Person","East Hartford, CT",
"Creative Safety Supply","4.5","Sales Assistant Customer Service Representative","Beaverton, OR","$14-$20"
"Carmex Precision Tools LLC",,"Sales Engineer","Chicago, IL",
"ClinCapture, Inc.","4.0","Sales Development Representative","San Francisco, CA",
"Genesis Acquisitions","4.6","Customer Service Representative/Sales","State College, PA",
"ABC Supply co.","4.6","Outside Sales Representative","Hazelwood, MO",
"Conductor","4.6","Sales Development Representative","San Francisco, CA",
"Pronto Pawn",,"Pawnbroker (Sales and Management)","San Antonio, TX",
"Karafotias Realty Company",,"Real Estate Agent","Decatur, GA",
