"jobTitle","meanPay","Range"
"Product Line Manager","$106,161/yr","Range: $84K - $196K"
"Account Coordinator","$52,502/yr","Range: $48K - $59K"
"Research - Hourly Intern","$44/hr","Range: $27 - $48"
"Associate Supply Chain Planner","$60,407/yr","Range: $56K - $69K"
"Vice President","$255,554/yr","Range: $154K - $372K"
"Management Consultant Associate","$77,968/yr","Range: $73K - $88K"
"Advisory Software Developer","$119,171/yr","Range: $97K - $149K"
"Server Administrator","$74,165/yr","Range: $67K - $83K"
"Scrum Master","$94,246/yr","Range: $60K - $138K"
"Regional Sales Representative","$64,460/yr","Range: $60K - $74K"
"Business Developer","$68,305/yr","Range: $64K - $79K"
"Senior Procurement","$125,729/yr","Range: $116K - $151K"
"Storage Engineer","$99,740/yr","Range: $93K - $131K"
"Implementation Engineer","$86,174/yr","Range: $77K - $108K"
"Professional Services Manager","$105,130/yr","Range: $88K - $178K"
"Human Capital Analyst","$79,482/yr","Range: $75K - $92K"
"Computer Engineer","$74,523/yr","Range: $69K - $89K"
"Business Associate","$57,053/yr","Range: $53K - $70K"
"Senior Education Consultant","$98,952/yr","Range: $81K - $126K"
"Content Writer","$84,904/yr","Range: $80K - $115K"
"Senior Human Capital Analyst","$98,048/yr","Range: $89K - $113K"
"Client Relationship Manager","$74,663/yr","Range: $66K - $121K"
"Executive Consultant","$164,832/yr","Range: $120K - $295K"
"Senior Mobile Developer","$87,041/yr","Range: $81K - $110K"
"Sourcing Manager","$99,919/yr","Range: $91K - $112K"
"Senior SAS Analyst","$92,342/yr","Range: $86K - $106K"
"Coach","$50,547/yr","Range: $47K - $57K"
"Data","$72,395/yr","Range: $67K - $88K"
"Channel Marketing Manager","$119,902/yr","Range: $91K - $169K"
"Healthcare Consultant","$78,035/yr","Range: $72K - $86K"
"Sales and Marketing Manager","$79,158/yr","Range: $74K - $92K"
"UI Developer","$91,422/yr","Range: $85K - $135K"
"IT Professional","$43,024/yr","Range: $38K - $69K"
"Senior Healthcare Consultant","$97,263/yr","Range: $88K - $106K"
"Tester","$56,131/yr","Range: $51K - $82K"
"Associate Strategy","$111,899/yr","Range: $103K - $139K"
"CRM","$76,989/yr","Range: $71K - $88K"
"Associate Client Partner","$90,369/yr","Range: $85K - $96K"
"Management Consulting","$58,283/yr","Range: $55K - $67K"
"Customer Experience","$58,738/yr","Range: $55K - $68K"
"Junior Computer Systems Analyst","$74,026/yr","Range: $70K - $78K"
"SAP Mm Consultant","$84,019/yr","Range: $43K - $105K"
"Director, Global Sales Management","$149,679/yr","Range: $140K - $173K"
"Marketing Communications Manager Intern","$52,839/yr","Range: $49K - $65K"
"Application Development Specialist","$73,974/yr","Range: $66K - $86K"
"Senior Oracle Consultant","$70,654/yr","Range: $66K - $83K"
"Program Director, Software Development","$198,685/yr","Range: $158K - $233K"
"Financial Manager","$125,857/yr","Range: $113K - $160K"
"Associate Front Desk","$31,130/yr","Range: $28K - $37K"
"Clinical Specialist","$72,676/yr","Range: $69K - $85K"
"Release Engineer","$103,254/yr","Range: $91K - $124K"
"Software Engineering Manager Intern","$86,816/yr","Range: $80K - $101K"
"Technical Solutions Architect","$108,915/yr","Range: $76K - $170K"
"Senior Customer Experience Manager","$98,616/yr","Range: $92K - $114K"
"Senior Management Consulting","$60,054/yr","Range: $56K - $69K"
"Senior Benefits Consultant","$104,810/yr","Range: $98K - $132K"
"Senior Cloud Engineer","$145,015/yr","Range: $136K - $163K"
"Financial Services Associate","$45,640/yr","Range: $42K - $53K"
"SAP Manager","$112,729/yr","Range: $102K - $129K"
"Senior Hardware Design Engineer","$141,851/yr","Range: $125K - $182K"
"BI Analyst","$91,975/yr","Range: $82K - $108K"
"Client Technical Professional","$138,138/yr","Range: $92K - $170K"
"Financial Analyst Coop","$61,273/yr","Range: $53K - $71K"
"Senior Language Analyst","$116,585/yr","Range: $109K - $137K"
"Director, Regulatory Affairs Management","$125,355/yr","Range: $109K - $151K"
"Sales Advisor","$31,873/yr","Range: $30K - $37K"
"SAS Analyst","$78,911/yr","Range: $74K - $91K"
"Entry Level Project Manager","$77,434/yr","Range: $74K - $92K"
"Designer","$87,644/yr","Range: $71K - $103K"
"Financial Planning and Analysis Manager Coop","$70,391/yr","Range: $63K - $83K"
"Salesforce.com Developer","$103,282/yr","Range: $96K - $117K"
"Director, Group Sales Management","$110,024/yr","Range: $103K - $131K"
