"jobTitle","meanPay","Range"
"Communications Manager","$114,363/yr","Range: $90K - $140K"
"Turbotax Ask-A-Tax-Expert (Remote Employee) - Hourly","$20/hr","Range: $18 - $21"
"Senior Staff Software Engineer","$143,749/yr","Range: $110K - $179K"
"Az","$38,325/yr","Range: $34K - $43K"
"Executive Assistant - Hourly","$41/hr","Range: $39 - $43"
"Strategic Account Manager","$78,861/yr","Range: $50K - $110K"
"Senior Sales Engineer","$110,242/yr","Range: $89K - $133K"
"IT Engineer","$114,765/yr","Range: $105K - $124K"
"QA Engineer - Hourly","$40/hr","Range: $37 - $43"
"Intuit Coop - Hourly Intern","$33/hr","Range: $31 - $34"
"Quality Engineer - Hourly Contractor","$52/hr","Range: $43 - $62"
"Call Center Manager","$72,013/yr","Range: $66K - $79K"
"Senior Technical Recruiter","$160,293/yr","Range: $144K - $176K"
"Staff Site Reliability Engineer","$115,634/yr","Range: $112K - $120K"
"Senior Security Engineer","$117,015/yr","Range: $105K - $129K"
"QA Manager","$149,369/yr","Range: $117K - $183K"
"Payment Solutions Division, Risk Operations - Hourly","$17/hr","Range: $16 - $18"
"Community Manager","$84,152/yr","Range: $68K - $100K"
"IT Architect","$162,240/yr","Range: $147K - $180K"
"Data Analyst - Hourly Contractor","$27/hr","Range: $20 - $35"
"Staff Operations Engineer","$118,483/yr","Range: $104K - $133K"
"Storage Administrator","$114,627/yr","Range: $103K - $127K"
"Web Advisor - Hourly","$17/hr","Range: $15 - $18"
"Staff Analyst","$140,968/yr","Range: $112K - $174K"
"Customer Support Representative - Hourly Contractor","$14/hr","Range: $10 - $18"
"Software Engineer - Monthly","$6,504/mo","Range: $4K - $9K"
"Staff Interaction Designer","$117,115/yr","Range: $107K - $127K"
"Consultant - Hourly","$20/hr","Range: $17 - $22"
"Senior Operations Engineer","$135,520/yr","Range: $112K - $161K"
"Technical Support Specialist - Hourly","$24/hr","Range: $21 - $27"
"Staff Front End Engineer","$130,261/yr","Range: $113K - $150K"
"Senior Software Engineer - Hourly Contractor","$72/hr","Range: $62 - $83"
"Senior Manager, Analytics","$172,259/yr","Range: $158K - $190K"
"QA Analyst - Hourly","$35/hr","Range: $26 - $45"
"Customer Service Representative","$32,222/yr","Range: $31K - $34K"
"Senior Support Specialist","$56,397/yr","Range: $47K - $66K"
"Small Business Sales Consultant","$39,166/yr","Range: $36K - $42K"
"Senior Mobile Developer","$139,577/yr","Range: $120K - $158K"
"User Experience Designer - Hourly Intern","$35/hr","Range: $29 - $41"
"Technical Support Representative - Hourly Contractor","$17/hr","Range: $17 - $18"
"Senior Game Designer","$109,709/yr","Range: $99K - $121K"
"Senior Call Center","$57,793/yr","Range: $55K - $61K"
