"jobTitle","meanPay","Range"
"Vice President, Regional Sales Management","$175,441/yr","Range: $143K - $204K"
"Senior Member of Technical Staff, Heroku","$148,024/yr","Range: $148K - $151K"
"Associate Sales Development Representative","$52,910/yr","Range: $53K - $58K"
"Associate Release Engineer","$116,595/yr","Range: $117K - $121K"
"Portfolio Manager","$105,356/yr","Range: $105K - $155K"
"Senior Customer Success Manager","$115,390/yr","Range: $108K - $149K"
"Technical Evangelist","$154,766/yr","Range: $143K - $165K"
"Principal Software Development Engineer","$231,189/yr","Range: $199K - $237K"
"Account Management","$64,743/yr","Range: $64K - $75K"
"Product Analyst","$101,909/yr","Range: $96K - $114K"
"Order Management Specialist","$56,409/yr","Range: $45K - $59K"
