"jobTitle","company","meanPay"
"Intern - Monthly","ConocoPhillips","$5,987/mo"
"Intern - Hourly","BDO USA","$25/hr"
"Intern - Hourly","TIAA","$20/hr"
"Intern - Hourly","United Airlines","$20/hr"
"Intern - Hourly","MSLGROUP","$16/hr"
"Intern - Hourly","Emerson","$18/hr"
"Intern","Boeing","$60,378/yr"
"Intern - Hourly","ESPN","$11/hr"
"Intern - Hourly","Enel X","$19/hr"
"Intern - Hourly","Teradata","$24/hr"
"Intern - Hourly","Ralph Lauren","$11/hr"
"Intern - Hourly","Kraft Heinz Company","$18/hr"
"Intern - Hourly","Halliburton","$21/hr"
"Intern - Hourly","Burson-Marsteller","$13/hr"
"Intern - Hourly","JetBlue","$16/hr"
"Intern - Hourly","Eastman","$24/hr"
"Intern - Hourly","TripAdvisor","$22/hr"
"Intern - Monthly","United Airlines","$3,269/mo"
"Intern - Hourly","SAIC","$19/hr"
"Intern - Hourly","The Walsh Group","$18/hr"
"Intern - Hourly","Morningstar","$15/hr"
"Intern - Hourly","NextEra Energy, Inc.","$20/hr"
"Intern - Hourly","Schneider Electric","$19/hr"
"Intern - Hourly","ING","$19/hr"
"Intern - Monthly","IBM","$6,235/mo"
"Intern - Hourly","Marathon Petroleum","$23/hr"
"Intern - Hourly","Royal Caribbean Cruises","$13/hr"
"Intern - Hourly","Plante Moran","$25/hr"
"Intern - Hourly","USAA","$22/hr"
"Intern - Hourly","Zerve","$12/hr"
"Intern - Hourly","Ally Financial","$19/hr"
"Intern - Hourly","CH2M","$23/hr"
"Intern - Hourly","Novogradac & Company","$22/hr"
"Intern - Hourly","Kroll","$17/hr"
"Intern","Terracon","$31,845/yr"
"Intern - Hourly","Vertex Pharmaceuticals","$21/hr"
"Intern - Hourly","Sanofi","$20/hr"
"Intern - Monthly","NASA Jet Propulsion Laboratory","$2,559/mo"
"Intern - Hourly","Blue Cross Blue Shield of Michigan","$17/hr"
"Intern","United Rentals","$42,401/yr"
"Intern - Hourly","BMW Manufacturing","$18/hr"
"Intern - Hourly","Rolls-Royce","$19/hr"
"Intern - Hourly","Toyota North America","$21/hr"
"Intern - Hourly","Motorola Solutions","$21/hr"
"Intern - Hourly","Southern California Edison","$22/hr"
"Intern - Hourly","TVA","$22/hr"
"Intern - Hourly","The Aerospace Corporation","$25/hr"
"Intern - Hourly","Baker Tilly Virchow Krause","$23/hr"
"Intern - Hourly","Texas Instruments","$24/hr"
"Intern - Hourly","Northern Trust","$18/hr"
"Intern - Hourly","Perkins & Will","$17/hr"
"Intern - Hourly","Avnet","$15/hr"
"Intern - Hourly","Fannie Mae","$18/hr"
"Intern - Hourly","Navigant","$25/hr"
"Intern - Hourly","Expeditors","$14/hr"
"Intern - Hourly","Time Warner Cable","$19/hr"
"Intern - Hourly","CLA (CliftonLarsonAllen)","$22/hr"
"Intern - Hourly","Clark Construction Group","$20/hr"
"Intern - Hourly","Starcom Worldwide","$11/hr"
"Intern - Hourly","Port Authority of New York and New Jersey","$20/hr"
"Intern - Hourly","Charles Schwab","$23/hr"
"Intern - Hourly","Kimley-Horn","$19/hr"
"Intern - Monthly","John Deere","$3,978/mo"
"Intern - Hourly","Skanska USA","$18/hr"
"Intern - Hourly","Mylan Inc","$20/hr"
"Intern - Hourly","Lawrence Livermore National Laboratory","$24/hr"
"Intern - Monthly","Walmart","$3,660/mo"
"Intern - Monthly","AGC Partners","$1,867/mo"
"Intern - Monthly","Shell","$5,459/mo"
"Intern - Hourly","AARP","$16/hr"
"Intern - Hourly","Volkswagen Group of America","$17/hr"
"Intern - Hourly","RPA","$11/hr"
"Intern - Hourly","Whirlpool Corporation","$23/hr"
"Intern - Hourly","GlaxoSmithKline","$23/hr"
"Intern - Hourly","National Renewable Energy Lab","$20/hr"
"Intern - Hourly","Marriott International","$13/hr"
"Intern - Hourly","OppenheimerFunds","$17/hr"
"Intern - Hourly","Federal Reserve Bank of Chicago","$17/hr"
"Intern - Hourly","Cigna","$19/hr"
"Intern - Hourly","Twentieth Century Fox","$13/hr"
"Intern - Hourly","Moody's","$23/hr"
"Intern - Hourly","Consumers Energy","$22/hr"
"Intern - Hourly","Hilton","$19/hr"
"Intern - Monthly","U.S. Senate","$1,127/mo"
"Intern - Hourly","Nasdaq","$23/hr"
"Intern - Hourly","State Street Global Advisors","$17/hr"
"Intern - Hourly","HDR","$17/hr"
"Intern - Hourly","Red Hat","$23/hr"
"Intern - Hourly","Mullen","$11/hr"
"Intern - Hourly","U.S. Bank","$20/hr"
"Intern - Hourly","McAfee","$23/hr"
"Intern - Monthly","Northwestern Mutual","$1,076/mo"
"Intern - Hourly","Philips","$27/hr"
"Intern - Hourly","Viasat","$25/hr"
"Intern - Hourly","Pearson","$15/hr"
"Intern","Goldman Sachs","$79,190/yr"
"Intern","Newmark Knight Frank","$21,842/yr"
"Intern - Hourly","Estée Lauder Companies","$16/hr"
"Intern - Hourly","Garmin","$24/hr"
"Intern - Hourly","Sprint","$21/hr"
"Intern - Hourly","Harris","$23/hr"
"Intern - Hourly","DreamWorks Animation","$11/hr"
"Intern - Hourly","DISH","$19/hr"
"Intern - Hourly","Gilead Sciences","$25/hr"
"Intern - Hourly","Santander","$17/hr"
"Intern - Hourly","Genworth","$20/hr"
"Intern - Hourly","Amazon","$20/hr"
"Intern - Hourly","WestRock","$17/hr"
"Intern - Hourly","Freeport-McMoRan","$26/hr"
